organization,model_or_system,product_form,stage_as_of,evidence,limitations,source_ids
Figure,Helix 02 / Figure 03,Vertically integrated humanoid hardware and AI,2026-09-11: Customer-confirmed prior pilot and new industrial sequencing project,"Official S0/S1/S2 description, selected demonstrations and BMW confirmation of Figure 02 pilot and Figure 03 project.",Do not transfer Figure 02 production statistics to Figure 03/Helix 02 or extrapolate demo length to unattended reliability.,S109; S110; S127; S128
Skild AI,Skild Brain / S1,Cross-embodiment software and deployment business,2026-09-11: Company-reported paying deployments plus partner pilots,September 9 report names deployment activity and new S1 use cases.,Commercial totals are vendor-reported and mix products; planned S1 wiring automation differs from already deployed applications.,S111; S112; S113
Physical Intelligence,"π family, π0.7 research; π0.6 partner deployments",Foundation-model layer integrated by robot partners,2026-09-11: Partner-reported real customer operations,Weave laundromat and Ultra warehouse packing accounts include remote intervention metrics.,Model/robot versions differ across research and deployed sites; autonomy-time is not per-task success.,S027; S114
NVIDIA,Isaac GR00T ecosystem / GEAR-SONIC,"Open model and robot development platform, onboard runtime",2026-09-11: Released models/code/workflows; reference hardware announced,WBC repository includes N1.7 workflow and SONIC variants; reference humanoid announced May 31.,Reference humanoid availability stated late 2026; no claim of delivery by cutoff or universal task success.,S103; S033; S115
Google DeepMind,Gemini Robotics 2 / ER 2 / On-Device 2,Robotics model family and partner integration,2026-09-11: Official release and differentiated early-access/API routes,July 30 release shows shared-model whole-body and dexterous behaviors.,"ER access, trusted-tester control-model access and open weights are different categories.",S042
Agility Robotics,Digit / Arc,"Industrial humanoid plus orchestration platform, RaaS",2026-09-11: Customer-confirmed commercial logistics deployment,"GXO agreement; vendor cumulative 100,000-tote milestone.",No basis to call proprietary Digit controller a fully disclosed VLA or infer uptime/failure rate from cumulative counts.,S118; S119
1X,NEO / Redwood / 1XWM,Home humanoid with autonomy plus expert assistance,2026-09-11: Order availability and announced 2026 deliveries,Order page explicitly describes basic autonomy and scheduled Expert Mode; world-model technical report.,Do not equate preorders with completed deliveries; January WM implementation is slow and not broad closed-loop autonomy.,S116; S117
Boston Dynamics,Electric Atlas and learned behavior stack,Enterprise industrial humanoid,2026-09-11: Production version; pilot experience and scheduled deployments,Official retrospective describes 2025 part sequencing and 2026 manufacturing.,Hardware productization is distinct from a fully disclosed foundation model; planned deployments remain planned.,S120
Unitree Robotics,G1 ecosystem / UnifoLM-VLA,Robot hardware plus developer models and datasets,2026-09-11: Public code/checkpoints and research platform availability,Official repository lists VLM/VLA variants and robotic datasets.,"Hardware sales, benchmark releases and autonomous commercial usefulness are separate evidence.",S122
Galbot,G1/S1 and AstraBrain family,Mobile manipulation products and proprietary models,2026-09-11: Officially claimed multi-sector deployment,Company page presents retail/industrial applications and WAM/WBC/DexNDM stack.,Technical and commercial positioning is vendor evidence; comparative first/best claims and fleet throughput not independently accepted.,S121
Generalist,GEN-1 / GEN-1.5,"Native embodied foundation model, enterprise partner access",2026-09-11: Early-access offering and official real-robot evaluations,GEN-1 selected-task reliability; GEN-1.5 one-shot/few-step adaptation.,"Simple short-horizon ICL tasks, modest success and closed reproduction; selected-task 99% is not universal readiness.",S125; S126
