id,source,target,relation_type,evidence_type,explanation,source_ids
E001,act,diffusion-policy,shared_design_axis,analytical,"Both predict action sequences to manage the control horizon, but CVAE chunking and diffusion are different policy distributions, not successive checkpoints.",S001; S003
E002,diffusion-policy,octo,policy_family,explicit,Octo describes itself as a transformer-based diffusion policy scaled through diverse robot pretraining.,S003; S011; S012
E003,rt1,rt2,research_successor,explicit,RT-2 succeeds RT-1 in the same research line but changes to a pretrained VLM and text-form actions; this is not RT-1 weight continuation.,S006; S008
E004,rt1,rtx,architecture_reuse,explicit,RT-1-X applies the RT-1 architecture to cross-embodiment data.,S009; S010
E005,rt2,rtx,architecture_reuse,explicit,RT-2-X is the VLM-based RT-X instantiation.,S009; S010
E006,open-x-embodiment,octo,data_infrastructure,explicit,Octo pretraining uses the Open X-Embodiment dataset; RT-X weights are not the Octo backbone.,S009; S011
E007,open-x-embodiment,openvla,data_infrastructure,explicit,OpenVLA uses the Open X-Embodiment data ecosystem while choosing its own VLM architecture.,S009; S013
E008,rt2,openvla,shared_design_axis,analytical,"Both map VLM features to discretized autoregressive actions; similarity is architectural, not proof of inherited private RT-2 weights.",S007; S013
E009,openvla,openvla-oft,checkpoint_and_recipe_adaptation,explicit,OFT modifies OpenVLA fine-tuning and action decoding while retaining its pretrained foundation.,S015; S016
E010,pi0,pi0-fast,variant,explicit,pi0-FAST uses FAST tokenization to instantiate an autoregressive variant; FAST itself is a representation method.,S019; S020
E011,pi0,pi05,model_successor,explicit,pi0.5 builds on pi0 and adds heterogeneous training and hierarchical task behavior.,S021
E012,fast,pi05,training_representation,explicit,Knowledge insulation uses FAST action tokens as an auxiliary learning signal for the VLM backbone.,S022
E013,pi05,pi06,model_successor,explicit,"The pi0.6 model card explicitly builds on pi0.5 while changing backbone, action expert and data.",S023
E014,pi06,pi06-recap,reinforcement_post_training,explicit,"RECAP trains pi0.6 with offline and on-robot RL, yielding pi-star-0.6.",S024; S025
E015,pi06,mem,memory_extension,explicit,The memory experiments augment pi0.6 with visual and language memory.,S028
E016,pi06,pi07,architecture_inheritance,explicit,pi0.7 retains the pi0.6 architectural foundation and changes context conditioning.,S026
E017,mem,pi07,module_inheritance,explicit,pi0.7 uses the MEM-style visual-history encoder and memory system.,S026; S028
