id,name,year,family,inputs,architecture,action_representation,training,data,inference,contribution,limitations,openness,source_ids
act,ACT,2023,chunked imitation,Multi-view RGB and joint state,Visual encoder and transformer CVAE,Joint-position action chunks,Action reconstruction plus KL regularization,Task-specific teleoperation demonstrations,Zero latent at deployment; repeatedly predict chunks and combine overlapping predictions,Reduce effective imitation horizon on low-cost bimanual hardware,Limited demonstration support; no built-in language foundation model or guaranteed contact-force reasoning,Code and hardware design available,S001; S002
diffusion-policy,Diffusion Policy,2023,generative imitation,Recent visual observations and robot state,Conditional temporal diffusion network,Continuous future action sequence,Denoising / score learning on expert actions,Robot manipulation demonstration benchmarks,Iterative denoising; execute a prefix and re-observe,Model multimodal action distributions with receding-horizon feedback,Sampling cost and data coverage remain limiting; original model is not automatically a web-pretrained VLA,Code and training materials available,S003; S004
rt1,RT-1,2022,robotics transformer,Short image history and language instruction,"EfficientNet with FiLM, TokenLearner, transformer",Discretized arm/base controls and termination mode,Supervised action-token prediction,"Over 130k episodes, over 700 tasks, 13 robots",3 Hz policy loop with termination condition,Demonstrated scalable multitask robot behavior cloning,Mostly restricted robot/task distribution; language conditioning is not equivalent to large VLM reasoning,Code and data links public,S005; S006
rt2,RT-2,2023,autoregressive VLA,RGB and task text,Pretrained PaLI-X or PaLM-E adapted to robot control,Robot action bins serialized as text tokens,Co-fine-tuning robot trajectories and web vision-language tasks,Robot actions plus web VLM corpora,"Autoregressively generate and detokenize actions, then re-observe",Transfer semantic web knowledge directly into action selection,New semantic concepts do not imply new low-level motor skills; large decoder adds latency,Research report; complete trained model not openly reproduced,S007; S008
rtx,RT-X / Open X-Embodiment,2023,cross-embodiment policy and data,Robot images and language across platforms,RT-1-X and RT-2-X retain their respective base architectures,Standardized action interfaces with dataset-specific semantics,Multirobot supervised policy learning,Pooled data from 22 robot embodiments in initial report,Decode to target robot interface within a feedback loop,Established positive transfer from heterogeneous robot experience,"Common file schema does not ensure identical physics, control frequency, or coordinates",Dataset/code resources; openness differs between RT variants,S009; S010
octo,Octo,2024,generalist diffusion policy,Language or goal image; flexible observation streams,"Modular tokenizers, transformer and diffusion action head",Continuous action chunks; replaceable action heads,Robot pretraining plus efficient domain fine-tuning,800k Open X-Embodiment trajectories,"Sample action chunk, execute prefix, replan",Flexible sensors and action spaces without requiring a giant language decoder,Needs adaptation for new interfaces; robot pretraining does not by itself give broad conversational reasoning,Open code and checkpoints,S011; S012
openvla,OpenVLA,2024,autoregressive VLA,Robot image and instruction,DINOv2/SigLIP visual features with Llama 2 language backbone,Discretized robot action tokens,Action-token cross-entropy and optional efficient fine-tuning,970k real robot demonstrations; 7B model,Sequential action-token decoding and robot feedback,Accessible VLA pretraining and adaptation reference,Original decoder is expensive for high-frequency chunks; new hardware generally requires tuning,Code and weights available; component licenses apply,S013; S014
openvla-oft,OpenVLA-OFT,2025,VLA fine-tuning recipe,"Images, instruction and configurable robot state",OpenVLA adapted for parallel chunk prediction,Continuous action chunks,L1 regression with parallel decoding and chunking,Task-adaptation data; LIBERO and real ALOHA evaluations,Predict multiple actions in parallel; update observations during control,Shows fine-tuning/output design can dominate practical speed and success,L1 favors a conditional median; multimodal behavior and language grounding need separate checks,Code and checkpoints public,S015; S016
pi0,pi0,2024,flow VLA,"Multi-view images, text, proprioception and noisy actions",PaliGemma 3B plus roughly 300M robot action expert,Continuous chunks of 50 actions in the reported setup,Conditional flow matching; broad pretraining then dexterous post-training,Private multirobot data mixed with open robot datasets,Cache observation prefix; integrate action vector field and execute chunks,Combine semantic VLM features with continuous dexterous control,Base generality and specialist performance are different settings; dataset mixture is not fully open,openpi releases code and selected weights,S017; S018; S020
fast,FAST / pi0-FAST,2025,action tokenization and autoregressive VLA,Normalized continuous action chunks during tokenization; image/text at policy time,"DCT, quantization and BPE tokenizer with autoregressive policy",Compressed frequency-domain action tokens,Next-token learning on compressed robot sequences,Robot trajectories including dexterous tasks and DROID adaptation,Generate tokens; inverse transform to continuous chunks,Removes redundancy in high-frequency action sequences,Token compression and training speed do not guarantee low closed-loop latency; quantization is a design tradeoff,Tokenizer and pi0-FAST models available,S019; S020
